"","data_dia","temp_min","temp_max","temp_med"
"1","2016-01-02",25,26,25.3333
"2","2016-01-01",26,37,30.2308
"3","2016-01-03",25,26,25.2222
"4","2016-01-04",22,24,23.625
"5","2016-01-05",24,25,24.5
"6","2016-01-07",24,25,24.6667
"7","2016-01-09",25,27,26.125
"8","2016-01-09",23,25,24
"9","2016-01-10",26,27,26.3333
"10","2016-01-12",24,26,25
"11","2016-01-16",22,23,22.125
"12","2016-01-15",24,31,25.7297
"13","2016-01-17",24,25,24.25
"14","2016-01-18",20,21,20.7
"15","2016-01-19",21,22,21.1
"16","2016-01-20",21,22,21.1111
"17","2016-01-21",23,23,23
"18","2016-01-21",24,24,24
"19","2016-01-23",22,22,22
"20","2016-01-23",23,23,23
"21","2016-01-25",24,25,24.4444
"22","2016-01-25",25,25,25
"23","2016-01-26",25,25,25
"24","2016-02-13",22,24,22.7778
"25","2016-02-12",23,31,27.125
"26","2016-02-14",25,26,25.5
"27","2016-02-14",24,26,25.2
"28","2016-02-15",27,29,27.7
"29","2016-02-15",27,29,27.4286
"30","2016-02-16",25,26,25.5556
"31","2016-02-17",24,25,24.75
"32","2016-02-20",25,25,25
"33","2016-02-20",25,26,25.7143
"34","2016-02-21",24,25,24.2222
"35","2016-02-22",23,24,23.7
"36","2016-02-22",25,28,25.375
"37","2016-02-23",25,25,25
"38","2016-02-23",25,27,25.75
"39","2016-02-25",26,28,26.8
"40","2016-02-25",26,28,26.75
"41","2016-02-27",26,28,26.6
"42","2016-02-26",25,36,29.125
"43","2016-02-29",25,27,26
"44","2016-03-01",21,22,21.4286
"45","2016-03-02",23,24,23.1429
"46","2016-03-03",25,25,25
"47","2016-03-05",25,28,26.375
"48","2016-03-05",26,31,27.6452
"49","2016-03-06",25,26,25.3333
"50","2016-03-07",25,26,25.1
"51","2016-03-07",25,27,26
"52","2016-03-08",26,27,26.1818
"53","2016-03-10",24,26,25.2
"54","2016-03-11",27,28,27.5484
"55","2016-03-12",27,28,27.125
"56","2016-03-13",24,25,24.875
"57","2016-03-14",24,25,24.25
"58","2016-03-15",25,25,25
"59","2016-03-16",25,25,25
"60","2016-03-17",23,24,23.1818
"61","2016-03-17",25,25,25
"62","2016-03-19",23,24,23.6
"63","2016-03-19",24,25,24.8889
"64","2016-03-22",23,25,23.5455
"65","2016-03-22",24,26,24.6667
"66","2016-03-23",25,27,26
"67","2016-03-25",24,30,26.5
"68","2016-03-26",26,27,26.125
"69","2016-03-27",23,25,24.3
"70","2016-03-27",25,27,26.125
"71","2016-03-29",25,27,26.3
"72","2016-03-30",26,26,26
"73","2016-03-31",25,26,25.7
"74","2016-04-02",23,24,23.8182
"75","2016-04-01",25,32,27.7143
"76","2016-04-03",25,26,25.5714
"77","2016-04-04",25,26,25.75
"78","2016-04-05",25,26,25.5714
"79","2016-04-09",22,25,23.5455
"80","2016-04-08",25,32,27.5833
"81","2016-04-10",24,25,24.4
"82","2016-04-18",25,32,27.7917
"83","2016-04-16",24,33,27.8333
"84","2016-04-14",25,34,28.5
"85","2016-04-12",25,32,27.4
"86","2016-04-10",25,30,27.375
"87","2016-04-19",23,31,25.625
"88","2016-04-17",22,33,27.4667
"89","2016-04-15",25,32,27.8387
"90","2016-04-13",24,31,26.8125
"91","2016-04-11",25,32,27.2333
"92","2016-04-20",24,26,24.8
"93","2016-04-22",24,35,28.4062
"94","2016-04-23",22,25,23.125
"95","2016-04-24",23,25,23.8571
"96","2016-04-26",25,28,26.625
"97","2016-04-27",24,26,25.2
"98","2016-04-27",22,25,23.5
"99","2016-04-30",19,19,19
"100","2016-04-29",19,23,20.6
"101","2016-05-01",19,20,19.4286
"102","2016-05-02",18,20,18.5714
"103","2016-05-03",16,19,17.625
"104","2016-05-03",18,20,19.2857
"105","2016-05-05",20,22,20.9
"106","2016-05-07",21,23,21.7143
"107","2016-05-06",20,27,23.1875
